z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate,Sharpe,Drawdown
Caro (1.5 a 2.5),200,2.6490018182955697,0.991555962249302,0.1018594653775986,49.528301886792455,26.006437226713672,2.5471423529179713
Muito Caro (>2.5),8,2.3927925071169267,2.461791183143119,0.072067287653836,25.0,33.202199663849335,2.3207252194630907
Muito Barato (<-2.5),12,0.358892640410427,2.6956147740175407,0.0623391012120858,66.66666666666666,5.757103129099088,0.2965535391983412
Barato (-2.5 a -1.5),55,1.7976425950185142,2.454780274827195,0.0390843533795881,67.27272727272727,45.99391811771458,1.758558241638926
Leve Desc (-1.5 a -0.5),140,-0.1105250787700639,-0.1015552088134863,0.0516797941453084,49.28571428571429,-2.138651642470715,-0.1622048729153723
Neutro,185,1.1899901226768694,1.8909554228385472,0.0521826606451488,56.21621621621622,22.804320154633157,1.1378074620317207
Leve Premio (0.5 a 1.5),262,0.8465621786864721,0.9964414775663012,0.0498499490823822,53.64963503649635,16.98220714940417,0.7967122296040899
Caro (1.5 a 2.5),215,0.4533293293159293,0.5870369561371769,0.045019383360757,52.91479820627802,10.06964745859769,0.4083099459551723
Muito Caro (>2.5),35,-1.9892895332157288,-0.7287551310834472,0.0513824612536675,42.85714285714285,-38.71534072063159,-2.0406719944693963
Muito Barato (<-2.5),15,-3.9073045877032873,-1.4577624125963862,0.0660554038850657,33.33333333333333,-59.151928513675344,-3.973359991588353
Barato (-2.5 a -1.5),81,0.9083853939045632,1.424240870747373,0.0738560940299476,55.55555555555556,12.299396461947058,0.8345292998746155
Leve Desc (-1.5 a -0.5),160,1.3871884121809366,1.9360912941358888,0.0754320251447916,55.00000000000001,18.389913185126854,1.311756387036145
Neutro,214,2.986955717013146,2.295009861979924,0.0823264509861259,59.813084112149525,36.28184678135436,2.9046292660270203
Leve Premio (0.5 a 1.5),229,-0.7670133678154558,-2.252879458008284,0.0659303198531741,40.61135371179039,-11.633696877095195,-0.8329436876686299
Caro (1.5 a 2.5),161,3.0554523741071136,1.4482105878533602,0.0820079926914039,58.08383233532935,37.257982259690216,2.97344438141571
Muito Caro (>2.5),43,5.544945767308591,7.189166609723019,0.0773535676598749,61.40350877192983,71.68312804920251,5.467592199648716
Muito Barato (<-2.5),13,-0.791907638390978,1.3149878928529368,0.0593049612907652,76.92307692307693,-13.35314293782616,-0.8512125996817432
Barato (-2.5 a -1.5),66,0.6316124452466533,1.4693378905831,0.0682197274834727,60.60606060606061,9.258501305816122,0.5633927177631806
Leve Desc (-1.5 a -0.5),123,2.791381545955593,3.208330914384772,0.0797224235514346,61.78861788617886,35.01375631337798,2.7116591224041584
Neutro,208,2.227742856754574,1.581260827820974,0.0730792095115182,56.25,30.48394804981444,2.154663647243056
Leve Premio (0.5 a 1.5),251,0.8850470722919789,0.7336998477500467,0.0801772249243236,52.98804780876494,11.038634251668212,0.8048698473676553
