z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate
Caro (1.5 a 2.5),190,0.615393014982491,0.3062450941153649,0.033223625420231,55.8974358974359
Muito Caro (>2.5),39,-0.9342881881673524,-0.4975102796197506,0.0260713788823887,43.58974358974359
Muito Barato (<-2.5),10,0.3827540662127249,-0.2466550498888553,0.0260221608015372,50.0
Barato (-2.5 a -1.5),134,0.1490198584115609,0.4253386637027012,0.0284932388916617,55.223880597014926
Leve Desc (-1.5 a -0.5),169,-0.2224619052339529,-0.5453326764802147,0.0352251306963299,42.60355029585799
Neutro,136,0.2729538302195315,0.452419897740941,0.0346727818588145,55.88235294117647
Leve Premio (0.5 a 1.5),242,0.7885555546905688,0.6751676633044323,0.0377936464956209,57.377049180327866
Caro (1.5 a 2.5),221,-0.1015486175651133,-0.3329929273201526,0.0281008592394668,46.42857142857143
Muito Caro (>2.5),7,0.9779273485024846,1.1386087985524318,0.0276733012347958,57.14285714285714
Muito Barato (<-2.5),7,2.500687820254184,0.3274862472564921,0.0403739794579463,71.42857142857143
Barato (-2.5 a -1.5),109,0.4255421007875324,-0.0299806754859743,0.0310157483790174,48.62385321100918
Leve Desc (-1.5 a -0.5),94,-0.0621902327979086,-0.4180145627301845,0.032713144318653,42.5531914893617
Neutro,141,0.3880627682087292,0.1849651489218784,0.0374953191469524,50.35460992907801
Leve Premio (0.5 a 1.5),339,0.463977345810655,0.3611232410408949,0.0304423240592864,54.11764705882353
Caro (1.5 a 2.5),209,0.3492706202016875,0.2859225975527124,0.0310513442733516,50.23474178403756
Muito Caro (>2.5),20,-1.2920540280834831,-1.1172326483878114,0.0209315958347371,30.0
Muito Barato (<-2.5),5,-0.4408796680990057,-0.4470270886371641,0.0098646648792972,20.0
Barato (-2.5 a -1.5),103,1.630255366583935,1.09991570671375,0.0520597708363403,63.10679611650486
Leve Desc (-1.5 a -0.5),176,0.5261769418994945,-0.667989015683379,0.0626405915407989,45.45454545454545
Neutro,209,-0.303773110294032,-0.4504415284799279,0.0526129334178135,45.93301435406698
Leve Premio (0.5 a 1.5),155,-0.2175266575428477,-0.1055885507774134,0.076859456771986,49.67741935483871
Caro (1.5 a 2.5),184,0.5522581638602775,0.713521709210041,0.0586276865642749,55.55555555555556
Muito Caro (>2.5),87,0.7081422766354232,1.0480427697027397,0.0457598499240284,58.620689655172406
Muito Barato (<-2.5),11,0.927766761541596,0.8237176533960833,0.0248806166007891,63.63636363636363
Barato (-2.5 a -1.5),71,1.0709186829460553,0.9097811922848642,0.0347940831755486,59.15492957746479
Leve Desc (-1.5 a -0.5),181,0.096751418399518,-0.5484466727458503,0.0377183847822008,45.30386740331492
Neutro,171,-0.062708926687954,0.1282026218700105,0.0386241709755968,51.461988304093566
Leve Premio (0.5 a 1.5),221,0.7668321498700762,0.4984361664906345,0.0401930124466083,56.00000000000001
Caro (1.5 a 2.5),211,-0.1930992332210454,-0.3825429247093725,0.0345586592802835,42.9245283018868
Muito Caro (>2.5),53,-0.7774490233875605,-0.6191970254508128,0.0342579373918778,43.39622641509434
Muito Barato (<-2.5),8,1.032531928311352,2.6345101685925187,0.0431650637574622,62.5
Barato (-2.5 a -1.5),95,0.32590234604051,0.6627043957597945,0.0453679983274613,57.89473684210527
Leve Desc (-1.5 a -0.5),220,0.5429290295353703,0.7863847302970961,0.0398636178982265,60.45454545454545
Neutro,292,0.3414646000770078,0.3939111819586838,0.0405612450011754,52.73972602739726
Leve Premio (0.5 a 1.5),162,-0.6402421742230987,-0.5045823675910777,0.0429167421013985,42.5925925925926
Caro (1.5 a 2.5),97,-0.022992604580113,0.6500620669652069,0.0417665959742065,54.54545454545454
Muito Caro (>2.5),45,-0.5314077368009852,-0.2037646963258921,0.035305113038079,43.75
Muito Barato (<-2.5),9,3.49748442332634,3.475752002739352,0.0291189655673822,88.88888888888889
Barato (-2.5 a -1.5),73,0.341635839593836,0.7835245795736467,0.0378428744801138,56.16438356164384
