ticker,regime,return,win,reason,days_held,date_entry,date_exit,hurst_entrada,entropy_entrada,halflife_entrada,sinal_tipo,phase,window
ASAI3.SA,BEAR_CALM,-0.051200000000000044,0,HARD_STOP,3,2023-09-19,2023-09-22,0.20849082927794169,-0.713930302439026,6.315730364038477,PRICE,TRAIN,2023-05-08_2023-11-08
ASAI3.SA,BEAR_CALM,-0.059511559837521454,0,HARD_STOP,15,2023-10-03,2023-10-18,-0.8654215754227701,0.6753401721732296,9.186546072736407,PRICE,TRAIN,2023-05-08_2023-11-08
ASAI3.SA,BEAR_CALM,0.1157537726020986,1,END_CLOSED,14,2023-10-25,2023-11-08,-0.1635357287486091,0.35017132947576635,12.329881908885321,PRICE,TRAIN,2023-05-08_2023-11-08
AZUL4.SA,BEAR_CALM,-0.02028396890992703,0,STOP_TECNICO,19,2023-09-14,2023-10-03,-1.379940545307447,1.2615167499990905,34.30961849152067,PRICE,TRAIN,2023-05-08_2023-11-08
AZUL4.SA,BEAR_CALM,-0.0052290242828077135,0,STOP_TECNICO,11,2023-10-09,2023-10-20,-0.19110986800549012,-0.40029366751219436,29.242806477872335,PRICE,TRAIN,2023-05-08_2023-11-08
AZUL4.SA,BEAR_CALM,-0.051200000000000155,0,HARD_STOP,6,2023-10-25,2023-10-31,-1.4023168504788064,0.8386724448644085,8.5999927819571,PRICE,TRAIN,2023-05-08_2023-11-08
B3SA3.SA,BEAR_CALM,-0.02034697540811583,0,TIME_STOP,14,2023-10-03,2023-10-17,-0.7962834128200643,0.20271506505476877,1000.0,PRICE,TRAIN,2023-05-08_2023-11-08
B3SA3.SA,BEAR_CALM,0.07852259625061139,1,BEAR_OPTIMIZED,13,2023-10-25,2023-11-07,-1.7405666444622185,-0.1621408448619985,18.511668991376833,PRICE,TRAIN,2023-05-08_2023-11-08
BBDC3.SA,SIDEWAYS_CALM,-0.01982552846486387,0,TIME_STOP,11,2023-09-22,2023-10-03,-0.8083945729063425,-0.3056707567301796,34.30961849152067,PRICE,TRAIN,2023-05-08_2023-11-08
BBDC3.SA,SIDEWAYS_CALM,-0.016231961738337096,0,TIME_STOP,11,2023-10-09,2023-10-20,-0.3908465277691181,-1.0796063325594338,22.57785357160859,PRICE,TRAIN,2023-05-08_2023-11-08
BBDC3.SA,BEAR_CALM,0.09388791267704497,1,BEAR_OPTIMIZED,8,2023-10-31,2023-11-08,-1.3681678780703654,0.419705305874099,9.238825817505438,PRICE,TRAIN,2023-05-08_2023-11-08
BBDC4.SA,SIDEWAYS_CALM,-0.05475934124651518,0,HARD_STOP,7,2023-09-19,2023-09-26,-1.843131225449459,0.9660624803817255,15.27758394416471,PRICE,TRAIN,2023-05-08_2023-11-08
